Name,Full name,Description,Location,Coordinates,URL,Version,DNSSEC validation,No logs,Namecoin,Resolver address,Provider name,Provider public key,Provider public key TXT record
cs-tx2,cs-tx2,"US - Dallas, TX 2 DNSCrypt server provided by https://cryptostorm.is/",,,,2,no,yes,no,108.181.101.27:443,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-tx3,cs-tx3,"US - Dallas, TX 3 DNSCrypt server provided by https://cryptostorm.is/",,,,2,no,yes,no,108.181.101.67:443,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
cs-vancouver,cs-vancouver,"Vancouver, Canada DNSCrypt server provided by https://cryptostorm.is/",,,,2,no,yes,no,71.19.251.34:443,2.dnscrypt-cert.cryptostorm.is,3133:72AD:5956:32C2:416B:872F:098F:851B:DDB9:6528:4C6C:BE9A:4F19:0964:30DB:A95A,
dct-nl,dct-nl,"DNSCrypt | IPv4 only | Non-logging | Non-filtering | DNSSEC | Dronten, Netherlands.",,,,2,yes,yes,no,5.255.105.24:8443,2.dnscrypt-cert.dct-nl,6603:8F1A:81BA:8760:E755:E206:CF0E:DF5F:F593:1301:0CD9:7F39:E6D0:D701:6BC7:BF41,
dct-ru,dct-ru,"DNSCrypt | IPv4 only | Non-logging | Non-filtering | DNSSEC | Moscow, Russia.",,,,2,yes,yes,no,185.22.154.19,2.dnscrypt-cert.dct-ru,2C07:883D:5CFB:6B9A:B3E2:E534:5BDF:145F:1B4D:3C36:3018:D7EF:C311:8133:6A59:493D,
decloudus-nogoogle-tst,decloudus-nogoogle-tst,"Servers helps you deGoogle and unGoogle by completely blocking Google tracking in addition to annoying ads, online trackers, and malware. Supports DNSSEC. No Logs.",,,,2,yes,yes,no,78.47.212.211:9443,2.dnscrypt-cert.DeCloudUs-test,4D44:DE13:695C:A791:CC24:5406:D206:B0AF:AF85:F773:70B2:833F:F854:351C:4618:6163,
decloudus-nogoogle-tstipv6,decloudus-nogoogle-tstipv6,"Servers helps you deGoogle and unGoogle by completely blocking Google tracking in addition to annoying ads, online trackers, and malware. Supports DNSSEC. No Logs. For IPv6.",,,,2,yes,yes,no,[2a01:4f8:13a:250b::30]:9443,2.dnscrypt-cert.DeCloudUs-test,4D44:DE13:695C:A791:CC24:5406:D206:B0AF:AF85:F773:70B2:833F:F854:351C:4618:6163,
deffer-dns.au,deffer-dns.au,DNSSEC/Non-logged/Uncensored in Sydney (AWS).,,,,2,yes,yes,no,52.65.235.129,2.dnscrypt-cert.deffer-dns.au,E50D:3444:30C1:930C:777D:469A:D3F7:AD8F:3E22:1F79:4B04:EAAC:83DE:5B60:3995:D3B3,
dns.b33.network-dnscrypt,dns.b33.network-dnscrypt,"DNSCrypt | IPv4 only | Non-logging | DNSSEC | Blocks ads, malware, trackers, viruses, ransomware, telemetry and more | hosted on OVH | Location: Paris, France | Maintained by 0xb33 - (https://github.com/0xb33)",,,,2,yes,yes,no,162.19.129.20:5443,2.dnscrypt-cert.b33.network,4B03:10F6:23E9:CB97:3AE3:0D08:57FD:E34B:A826:FEFC:3208:1221:FB30:11B6:81B9:622D,
dnscry.pt-adelaide-ipv4,dnscry.pt-adelaide-ipv4,"DNSCry.pt Adelaide - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,23.140.248.100,2.dnscrypt-cert.dnscry.pt,56B7:CC14:0DB3:98E3:1084:87B2:4A58:ED64:8D2B:8B0B:8FFA:AB6C:588B:939B:5204:DD6E,
dnscry.pt-adelaide-ipv6,dnscry.pt-adelaide-ipv6,"DNSCry.pt Adelaide - DNSCrypt, no filter, no logs, DNSSEC support (IPv6 server)",,,,2,yes,yes,no,[2602:fba1:a00::100:1],2.dnscrypt-cert.dnscry.pt,56B7:CC14:0DB3:98E3:1084:87B2:4A58:ED64:8D2B:8B0B:8FFA:AB6C:588B:939B:5204:DD6E,
dnscry.pt-allentown-ipv4,dnscry.pt-allentown-ipv4,"DNSCry.pt Allentown - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,23.137.253.24,2.dnscrypt-cert.dnscry.pt,DD9D:1823:BB9D:5C88:CA59:C3C2:E467:539B:8524:E83D:71D8:3BB2:62E8:F639:9CF6:70A4,
dnscry.pt-allentown-ipv6,dnscry.pt-allentown-ipv6,"DNSCry.pt Allentown - DNSCrypt, no filter, no logs, DNSSEC support (IPv6 server)",,,,2,yes,yes,no,[2602:fc24:19:74b0:5285::12],2.dnscrypt-cert.dnscry.pt,DD9D:1823:BB9D:5C88:CA59:C3C2:E467:539B:8524:E83D:71D8:3BB2:62E8:F639:9CF6:70A4,
dnscry.pt-amsterdam-ipv4,dnscry.pt-amsterdam-ipv4,"DNSCry.pt Amsterdam - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,45.86.162.110,2.dnscrypt-cert.dnscry.pt,6E5C:573C:9A33:687D:DDD1:3F61:FFAF:4EA7:59E7:6106:1B5B:8C88:59DF:32A4:E391:9CAF,
dnscry.pt-amsterdam-ipv6,dnscry.pt-amsterdam-ipv6,"DNSCry.pt Amsterdam - DNSCrypt, no filter, no logs, DNSSEC support (IPv6 server)",,,,2,yes,yes,no,[2a07:efc0:1001:a5ce::b4b4],2.dnscrypt-cert.dnscry.pt,6E5C:573C:9A33:687D:DDD1:3F61:FFAF:4EA7:59E7:6106:1B5B:8C88:59DF:32A4:E391:9CAF,
dnscry.pt-atlanta-ipv4,dnscry.pt-atlanta-ipv4,"DNSCry.pt Atlanta - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,170.249.237.154,2.dnscrypt-cert.dnscry.pt,E2EF:F502:214F:3EB8:123E:74CE:EAA4:4D18:D10A:3C1A:9253:0DC4:97E7:BF1F:BCAE:E33A,
dnscry.pt-atlanta-ipv6,dnscry.pt-atlanta-ipv6,"DNSCry.pt Atlanta - DNSCrypt, no filter, no logs, DNSSEC support (IPv6 server)",,,,2,yes,yes,no,[2600:4c00:80:8::a],2.dnscrypt-cert.dnscry.pt,E2EF:F502:214F:3EB8:123E:74CE:EAA4:4D18:D10A:3C1A:9253:0DC4:97E7:BF1F:BCAE:E33A,
dnscry.pt-auckland-ipv4,dnscry.pt-auckland-ipv4,"DNSCry.pt Auckland - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,185.99.133.112,2.dnscrypt-cert.dnscry.pt,1590:6504:AE33:398B:FD80:0DB1:DAF6:EB01:4E1E:6242:604B:40D8:FD89:23AC:35FB:47B3,
dnscry.pt-auckland-ipv6,dnscry.pt-auckland-ipv6,"DNSCry.pt Auckland - DNSCrypt, no filter, no logs, DNSSEC support (IPv6 server)",,,,2,yes,yes,no,[2a06:1280:bee1:2::ee12:208],2.dnscrypt-cert.dnscry.pt,1590:6504:AE33:398B:FD80:0DB1:DAF6:EB01:4E1E:6242:604B:40D8:FD89:23AC:35FB:47B3,
dnscry.pt-castlegar-ipv4,dnscry.pt-castlegar-ipv4,"DNSCry.pt Castlegar - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,158.51.78.177,2.dnscrypt-cert.dnscry.pt,BAB2:56FD:F8A4:460A:E17C:E431:8677:322D:B997:053F:C0EA:D5C1:F63D:79FA:2848:2E96,
dnscry.pt-castlegar-ipv6,dnscry.pt-castlegar-ipv6,"DNSCry.pt Castlegar - DNSCrypt, no filter, no logs, DNSSEC support (IPv6 server)",,,,2,yes,yes,no,[2602:fe69:a2a::e550:a4a1:17],2.dnscrypt-cert.dnscry.pt,BAB2:56FD:F8A4:460A:E17C:E431:8677:322D:B997:053F:C0EA:D5C1:F63D:79FA:2848:2E96,
dnscry.pt-chicago-ipv4,dnscry.pt-chicago-ipv4,"DNSCry.pt Chicago - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,45.41.204.204,2.dnscrypt-cert.dnscry.pt,6D0F:F775:49CB:C7FD:D1DD:4787:89B7:E5CD:0203:282A:8C19:C562:8803:DFB6:DD9E:0DB2,
dnscry.pt-chicago-ipv6,dnscry.pt-chicago-ipv6,"DNSCry.pt Chicago - DNSCrypt, no filter, no logs, DNSSEC support (IPv6 server)",,,,2,yes,yes,no,[2602:fea7:e0c:e:bff:6:70:194c],2.dnscrypt-cert.dnscry.pt,6D0F:F775:49CB:C7FD:D1DD:4787:89B7:E5CD:0203:282A:8C19:C562:8803:DFB6:DD9E:0DB2,
dnscry.pt-chisinau-ipv4,dnscry.pt-chisinau-ipv4,"DNSCry.pt Chișinău - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,176.123.10.105,2.dnscrypt-cert.dnscry.pt,426D:906E:7AED:9BCD:FED4:D785:5712:CB2C:1CAC:3461:CE2C:3199:B9F2:A21A:79BB:C80F,
dnscry.pt-chisinau-ipv6,dnscry.pt-chisinau-ipv6,"DNSCry.pt Chișinău - DNSCrypt, no filter, no logs, DNSSEC support (IPv6 server)",,,,2,yes,yes,no,[2001:678:6d4:5080::3dea:109],2.dnscrypt-cert.dnscry.pt,426D:906E:7AED:9BCD:FED4:D785:5712:CB2C:1CAC:3461:CE2C:3199:B9F2:A21A:79BB:C80F,
dnscry.pt-coeurdalene-ipv4,dnscry.pt-coeurdalene-ipv4,"DNSCry.pt Coeur d'Alene - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,104.192.102.132,2.dnscrypt-cert.dnscry.pt,21D0:3084:C031:0DE5:FA05:FC38:9C4A:BEB2:B9A6:F0B7:3D87:7244:B12E:57C7:B370:793D,
dnscry.pt-coeurdalene-ipv6,dnscry.pt-coeurdalene-ipv6,"DNSCry.pt Coeur d'Alene - DNSCrypt, no filter, no logs, DNSSEC support (IPv6 server)",,,,2,yes,yes,no,[2602:fe54:22:57::5bd:134],2.dnscrypt-cert.dnscry.pt,21D0:3084:C031:0DE5:FA05:FC38:9C4A:BEB2:B9A6:F0B7:3D87:7244:B12E:57C7:B370:793D,
dnscry.pt-coventry-ipv4,dnscry.pt-coventry-ipv4,"DNSCry.pt Coventry - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,104.128.190.108,2.dnscrypt-cert.dnscry.pt,1A27:509A:F87C:7A03:DD51:2BBF:3BD5:9FFE:A5D8:905F:CE5E:68AB:5B6C:D099:470F:59FE,
dnscry.pt-dallas-ipv4,dnscry.pt-dallas-ipv4,"DNSCry.pt Dallas - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,202.5.26.130,2.dnscrypt-cert.dnscry.pt,725A:0A88:977F:B5CE:2C30:5E65:8311:BEFB:961F:BEEE:C25E:810F:3447:E586:329A:A678,
dnscry.pt-dallas-ipv6,dnscry.pt-dallas-ipv6,"DNSCry.pt Dallas - DNSCrypt, no filter, no logs, DNSSEC support (IPv6 server)",,,,2,yes,yes,no,[2602:ffc5:407:7ff::1647],2.dnscrypt-cert.dnscry.pt,725A:0A88:977F:B5CE:2C30:5E65:8311:BEFB:961F:BEEE:C25E:810F:3447:E586:329A:A678,
dnscry.pt-denver-ipv4,dnscry.pt-denver-ipv4,"DNSCry.pt Denver - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,193.8.172.248,2.dnscrypt-cert.dnscry.pt,CAF1:A8CE:CD71:F64A:50DF:641D:0EF9:988A:449F:B77E:7174:0FDA:9935:2701:7E5D:2378,
dnscry.pt-denver-ipv6,dnscry.pt-denver-ipv6,"DNSCry.pt Denver - DNSCrypt, no filter, no logs, DNSSEC support (IPv6 server)",,,,2,yes,yes,no,[2606:6680:6:1::3ea9:3ce6],2.dnscrypt-cert.dnscry.pt,CAF1:A8CE:CD71:F64A:50DF:641D:0EF9:988A:449F:B77E:7174:0FDA:9935:2701:7E5D:2378,
dnscry.pt-detroit-ipv4,dnscry.pt-detroit-ipv4,"DNSCry.pt Detroit - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,66.187.7.140,2.dnscrypt-cert.dnscry.pt,699F:638A:7306:C4D3:530B:4A44:9771:A3CA:2DFF:083A:629B:B84F:4619:9BC0:381C:1A35,
dnscry.pt-detroit-ipv6,dnscry.pt-detroit-ipv6,"DNSCry.pt Detroit - DNSCrypt, no filter, no logs, DNSSEC support (IPv6 server)",,,,2,yes,yes,no,[2606:65c0:40:4:5f3:54c4:8d10:9b98],2.dnscrypt-cert.dnscry.pt,699F:638A:7306:C4D3:530B:4A44:9771:A3CA:2DFF:083A:629B:B84F:4619:9BC0:381C:1A35,
dnscry.pt-durham-ipv4,dnscry.pt-durham-ipv4,"DNSCry.pt Durham - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,38.45.64.117,2.dnscrypt-cert.dnscry.pt,12DE:38CE:1AB6:F6A7:D8B9:6E93:223B:4581:F979:532E:AEC4:937B:283F:6C67:7442:D0F3,
dnscry.pt-durham-ipv6,dnscry.pt-durham-ipv6,"DNSCry.pt Durham - DNSCrypt, no filter, no logs, DNSSEC support (IPv6 server)",,,,2,yes,yes,no,[2001:550:5a00:5eb::db5:f001],2.dnscrypt-cert.dnscry.pt,12DE:38CE:1AB6:F6A7:D8B9:6E93:223B:4581:F979:532E:AEC4:937B:283F:6C67:7442:D0F3,
dnscry.pt-dusseldorf-ipv4,dnscry.pt-dusseldorf-ipv4,"DNSCry.pt Düsseldorf - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,185.244.27.136,2.dnscrypt-cert.dnscry.pt,6E51:08A6:6759:C048:5B03:09F7:07DD:2242:E159:1B8D:09CC:EFF9:A55C:86BA:B023:3026,
dnscry.pt-dusseldorf-ipv6,dnscry.pt-dusseldorf-ipv6,"DNSCry.pt Düsseldorf - DNSCrypt, no filter, no logs, DNSSEC support (IPv6 server)",,,,2,yes,yes,no,[2a0f:5707:aa81:5e3c::1],2.dnscrypt-cert.dnscry.pt,6E51:08A6:6759:C048:5B03:09F7:07DD:2242:E159:1B8D:09CC:EFF9:A55C:86BA:B023:3026,
dnscry.pt-ebene-ipv4,dnscry.pt-ebene-ipv4,"DNSCry.pt Ebène - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,102.222.106.165,2.dnscrypt-cert.dnscry.pt,606A:D7CF:174D:CD7F:2A40:469B:0FE0:76CB:3906:EDBB:5440:87DE:E5B2:3115:2558:51F4,
dnscry.pt-ebene-ipv6,dnscry.pt-ebene-ipv6,"DNSCry.pt Ebène - DNSCrypt, no filter, no logs, DNSSEC support (IPv6 server)",,,,2,yes,yes,no,[2c0f:e8f8:2000:233::a39b:7123],2.dnscrypt-cert.dnscry.pt,606A:D7CF:174D:CD7F:2A40:469B:0FE0:76CB:3906:EDBB:5440:87DE:E5B2:3115:2558:51F4,
dnscry.pt-eygelshoven-ipv4,dnscry.pt-eygelshoven-ipv4,"DNSCry.pt Eygelshoven - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,93.95.115.21,2.dnscrypt-cert.dnscry.pt,E2B7:5172:5008:AED1:6FB1:F77E:8424:80B5:91E6:A36F:0BB5:A6F6:FAC9:5295:8F42:9562,
dnscry.pt-flint-ipv4,dnscry.pt-flint-ipv4,"DNSCry.pt Flint - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,147.189.140.136,2.dnscrypt-cert.dnscry.pt,8BEF:080B:5E71:3EDF:9B03:8579:3937:544D:A547:D698:CD9A:5017:0C16:5B2D:EC53:DD9D,
dnscry.pt-flint-ipv6,dnscry.pt-flint-ipv6,"DNSCry.pt Flint - DNSCrypt, no filter, no logs, DNSSEC support (IPv6 server)",,,,2,yes,yes,no,[2606:6680:29:1::5859:a37b],2.dnscrypt-cert.dnscry.pt,8BEF:080B:5E71:3EDF:9B03:8579:3937:544D:A547:D698:CD9A:5017:0C16:5B2D:EC53:DD9D,
dnscry.pt-frankfurt-ipv4,dnscry.pt-frankfurt-ipv4,"DNSCry.pt Frankfurt - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,194.50.19.150,2.dnscrypt-cert.dnscry.pt,FBF4:C3E4:B889:623F:BCEB:5CC8:1854:AE70:7120:FFB2:13FB:74F7:C7C7:D85A:15AB:B1E9,
dnscry.pt-frankfurt-ipv6,dnscry.pt-frankfurt-ipv6,"DNSCry.pt Frankfurt - DNSCrypt, no filter, no logs, DNSSEC support (IPv6 server)",,,,2,yes,yes,no,[2a0f:5707:ab80:334e:2:2:2cd2:a8bc],2.dnscrypt-cert.dnscry.pt,FBF4:C3E4:B889:623F:BCEB:5CC8:1854:AE70:7120:FFB2:13FB:74F7:C7C7:D85A:15AB:B1E9,
dnscry.pt-fremont-ipv4,dnscry.pt-fremont-ipv4,"DNSCry.pt Fremont - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,23.134.88.71,2.dnscrypt-cert.dnscry.pt,72C0:085E:C865:30F7:EEB1:4517:7DBC:9A50:F7FB:28F6:1557:9CE7:3E4F:9D2E:D478:CD97,
dnscry.pt-fremont-ipv6,dnscry.pt-fremont-ipv6,"DNSCry.pt Fremont - DNSCrypt, no filter, no logs, DNSSEC support (IPv6 server)",,,,2,yes,yes,no,[2602:fba1:100::71:1],2.dnscrypt-cert.dnscry.pt,72C0:085E:C865:30F7:EEB1:4517:7DBC:9A50:F7FB:28F6:1557:9CE7:3E4F:9D2E:D478:CD97,
dnscry.pt-fujairah-ipv4,dnscry.pt-fujairah-ipv4,"DNSCry.pt Fujairah - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,89.36.162.187,2.dnscrypt-cert.dnscry.pt,A2F8:866D:B922:E7CD:E1FE:25C1:13AB:BE94:B749:8F22:2C49:C2D3:60BD:74ED:2039:6343,
dnscry.pt-fujairah-ipv6,dnscry.pt-fujairah-ipv6,"DNSCry.pt Fujairah - DNSCrypt, no filter, no logs, DNSSEC support (IPv6 server)",,,,2,yes,yes,no,[2a06:f902:4001:100:9000:9000:39a4:5feb],2.dnscrypt-cert.dnscry.pt,A2F8:866D:B922:E7CD:E1FE:25C1:13AB:BE94:B749:8F22:2C49:C2D3:60BD:74ED:2039:6343,
dnscry.pt-geneva-ipv4,dnscry.pt-geneva-ipv4,"DNSCry.pt Geneva - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,45.90.59.193,2.dnscrypt-cert.dnscry.pt,2908:A2CD:0BE4:31B7:28B2:082E:0040:86F7:E8AC:7115:C6A5:9921:86F5:5FC2:2C30:F257,
dnscry.pt-geneva-ipv6,dnscry.pt-geneva-ipv6,"DNSCry.pt Geneva - DNSCrypt, no filter, no logs, DNSSEC support (IPv6 server)",,,,2,yes,yes,no,[2a05:9406::ae1],2.dnscrypt-cert.dnscry.pt,2908:A2CD:0BE4:31B7:28B2:082E:0040:86F7:E8AC:7115:C6A5:9921:86F5:5FC2:2C30:F257,
dnscry.pt-helsinki-ipv4,dnscry.pt-helsinki-ipv4,"DNSCry.pt Helsinki - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,185.253.111.6,2.dnscrypt-cert.dnscry.pt,D1D4:D238:072A:C192:AE49:40DC:D8D1:5218:C81B:817F:A1D2:612D:71CF:CBDA:0088:7296,
dnscry.pt-helsinki-ipv6,dnscry.pt-helsinki-ipv6,"DNSCry.pt Helsinki - DNSCrypt, no filter, no logs, DNSSEC support (IPv6 server)",,,,2,yes,yes,no,[2a12:1fc0:0:c::3],2.dnscrypt-cert.dnscry.pt,D1D4:D238:072A:C192:AE49:40DC:D8D1:5218:C81B:817F:A1D2:612D:71CF:CBDA:0088:7296,
dnscry.pt-hongkong-ipv4,dnscry.pt-hongkong-ipv4,"DNSCry.pt Hong Kong - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,45.123.188.129,2.dnscrypt-cert.dnscry.pt,0B71:21FC:C3CB:4775:D462:C91E:BEC7:3E47:6D3F:019B:8A69:8D50:CD20:51AD:207E:31C8,
dnscry.pt-hongkong-ipv6,dnscry.pt-hongkong-ipv6,"DNSCry.pt Hong Kong - DNSCrypt, no filter, no logs, DNSSEC support (IPv6 server)",,,,2,yes,yes,no,[2406:4300:bae:6b08::1],2.dnscrypt-cert.dnscry.pt,0B71:21FC:C3CB:4775:D462:C91E:BEC7:3E47:6D3F:019B:8A69:8D50:CD20:51AD:207E:31C8,
dnscry.pt-istanbul-ipv4,dnscry.pt-istanbul-ipv4,"DNSCry.pt Istanbul - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,193.228.1.130,2.dnscrypt-cert.dnscry.pt,5CAD:28ED:F02D:19B6:EAB0:C5A7:E9E1:5CF2:9437:FD37:F762:B0FA:E02F:59B8:18D5:FA5D,
dnscry.pt-istanbul-ipv6,dnscry.pt-istanbul-ipv6,"DNSCry.pt Istanbul - DNSCrypt, no filter, no logs, DNSSEC support (IPv6 server)",,,,2,yes,yes,no,[2a12:e342:200::2:1819],2.dnscrypt-cert.dnscry.pt,5CAD:28ED:F02D:19B6:EAB0:C5A7:E9E1:5CF2:9437:FD37:F762:B0FA:E02F:59B8:18D5:FA5D,
dnscry.pt-jakarta-ipv4,dnscry.pt-jakarta-ipv4,"DNSCry.pt Jakarta - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,103.76.129.94,2.dnscrypt-cert.dnscry.pt,CA7E:92DD:904D:5787:C5F1:EECE:C066:F18F:A3FC:B9D3:4E57:6129:B1DF:03AD:4A21:3B1F,
dnscry.pt-johannesburg-ipv4,dnscry.pt-johannesburg-ipv4,"DNSCry.pt Johannesburg - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,169.239.128.124,2.dnscrypt-cert.dnscry.pt,CF06:DFB6:D2B9:EB2A:A337:1B7F:992A:E74F:4AF5:3DFB:30A5:CD86:39F8:5D8A:4494:A0B0,
dnscry.pt-johannesburg-ipv6,dnscry.pt-johannesburg-ipv6,"DNSCry.pt Johannesburg - DNSCrypt, no filter, no logs, DNSSEC support (IPv6 server)",,,,2,yes,yes,no,[2c0f:f530::d00:188],2.dnscrypt-cert.dnscry.pt,CF06:DFB6:D2B9:EB2A:A337:1B7F:992A:E74F:4AF5:3DFB:30A5:CD86:39F8:5D8A:4494:A0B0,
dnscry.pt-kharkiv-ipv4,dnscry.pt-kharkiv-ipv4,"DNSCry.pt Kharkiv - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,193.238.153.17,2.dnscrypt-cert.dnscry.pt,6D9A:1D25:A04C:7334:FD4C:B472:82F4:DE15:A546:1436:DEC6:8664:0405:3F3A:F719:0925,
dnscry.pt-kharkiv-ipv6,dnscry.pt-kharkiv-ipv6,"DNSCry.pt Kharkiv - DNSCrypt, no filter, no logs, DNSSEC support (IPv6 server)",,,,2,yes,yes,no,[2a02:27a8:feed::81],2.dnscrypt-cert.dnscry.pt,6D9A:1D25:A04C:7334:FD4C:B472:82F4:DE15:A546:1436:DEC6:8664:0405:3F3A:F719:0925,
dnscry.pt-kyiv-ipv4,dnscry.pt-kyiv-ipv4,"DNSCry.pt Kyiv - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,217.12.221.61,2.dnscrypt-cert.dnscry.pt,B248:0BB9:B0D3:5ACE:1B2B:DCC7:D485:CA45:84B2:96B1:BC5D:53C6:58C2:6950:CDFB:BF05,
dnscry.pt-kyiv-ipv6,dnscry.pt-kyiv-ipv6,"DNSCry.pt Kyiv - DNSCrypt, no filter, no logs, DNSSEC support (IPv6 server)",,,,2,yes,yes,no,[2a02:27ad::201],2.dnscrypt-cert.dnscry.pt,B248:0BB9:B0D3:5ACE:1B2B:DCC7:D485:CA45:84B2:96B1:BC5D:53C6:58C2:6950:CDFB:BF05,
dnscry.pt-lagos-ipv4,dnscry.pt-lagos-ipv4,"DNSCry.pt Lagos - DNSCrypt, no filter, no logs, DNSSEC support (IPv4 server)",,,,2,yes,yes,no,176.97.192.12,2.dnscrypt-cert.dnscry.pt,7028:2949:41C8:3591:1D65:185B:8302:D939:447A:7CE3:C953:92F8:6D8F:60F3:C4DB:36EB,
dnscry.pt-lagos-ipv6,dnscry.pt-lagos-ipv6,"DNSCry.pt Lagos - DNSCrypt, no filter, no logs, DNSSEC support (IPv6 server)",,,,2,yes,yes,no,[2a06:f901:4001:100::2d6c:736a],2.dnscrypt-cert.dnscry.pt,7028:2949:41C8:3591:1D65:185B:8302:D939:447A:7CE3:C953:92F8:6D8F:60F3:C4DB:36EB,
